"구분(1)",구분(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분(1)",구분(2),TV/라디오,TV/라디오,신문/잡지,신문/잡지,환경부 지자체 홈페이지,환경부 지자체 홈페이지,포털사이트,포털사이트,SNS,SNS,버스/열차 등 광고,버스/열차 등 광고,옥외 전광판,옥외 전광판,세미나/포럼/설명회 등,세미나/포럼/설명회 등,주변 사람,주변 사람,기타,기타,해당사항 없음,해당사항 없음
"구분(1)",구분(2),1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위
"지역",경기도 가평군,80.7,90.9,0.0,3.2,2.6,12.8,6.3,11.7,0.0,4.0,0.6,1.9,0.0,1.7,0.0,0.0,7.9,31.5,0.0,0.0,1.9,1.9
"지역",경기도 양평군,59.7,70.1,5.4,21.1,2.0,4.5,8.0,15.3,1.8,2.7,0.0,1.1,0.0,0.2,0.0,0.0,12.5,20.9,0.0,0.0,10.6,10.6
"지역",강원도 춘천시,48.0,75.4,2.4,13.2,0.0,0.3,11.0,24.7,2.5,6.6,0.0,0.0,0.0,0.1,0.0,0.0,20.2,39.8,0.0,0.0,15.8,15.8
"지역",강원도 원주시,82.6,86.8,1.1,11.1,0.8,1.5,5.6,16.4,2.2,5.7,0.2,0.3,0.0,0.0,0.0,0.0,1.9,9.9,0.2,0.2,5.4,5.4
"지역",강원도 강릉시,72.6,88.0,0.3,2.2,0.0,0.8,15.2,38.3,7.6,10.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.9,0.0,0.0,1.3,1.3
"지역",강원도 동해시,73.5,78.6,1.1,3.6,5.7,13.0,6.4,14.9,0.9,5.0,0.0,0.4,0.0,0.4,0.2,0.2,2.1,8.3,4.1,5.9,6.0,6.0
"지역",강원도 태백시,67.8,80.8,1.4,4.5,0.5,5.3,6.6,11.9,0.6,2.8,0.0,0.0,0.0,0.3,0.0,0.0,18.5,34.8,0.0,0.0,4.6,4.6
"지역",강원도 속초시,66.6,95.1,2.3,11.2,27.8,42.5,0.0,0.0,1.1,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,11.1,0.0,0.0,0.9,0.9
"지역",강원도 삼척시,52.3,65.5,8.1,36.6,0.7,1.9,7.5,17.0,2.4,5.9,0.0,0.0,0.0,0.0,0.2,0.3,2.7,6.2,0.9,0.9,25.2,25.2
"지역",강원도 홍천군,90.5,95.3,1.6,53.4,0.5,1.0,0.7,1.1,0.2,6.9,0.5,0.5,0.0,0.0,0.0,0.0,2.4,24.3,0.0,0.0,3.6,3.6
"지역",강원도 횡성군,90.9,95.9,3.9,64.9,0.0,0.3,1.5,9.7,0.3,1.5,0.5,2.5,0.0,2.8,0.0,0.0,2.5,17.2,0.0,0.0,0.3,0.3
"지역",강원도 영월군,75.3,89.7,0.3,9.1,3.2,5.7,4.7,8.6,4.5,7.2,0.0,0.1,0.0,0.3,0.0,0.0,12.1,25.2,0.0,0.0,0.0,0.0
"지역",강원도 평창군,50.8,55.6,0.2,5.8,0.0,0.0,2.0,5.8,0.8,7.8,0.0,0.9,0.3,0.3,0.0,0.0,35.0,47.7,0.0,0.0,10.8,10.8
"지역",강원도 정선군,72.1,76.5,3.2,12.7,3.0,3.6,2.7,9.4,1.8,3.7,0.0,1.8,0.0,0.6,0.0,0.5,6.0,30.2,0.0,0.0,11.2,11.2
"지역",강원도 철원군,94.2,97.1,1.9,9.4,0.0,0.8,1.6,10.9,1.2,7.5,0.0,0.3,0.0,0.0,0.0,0.0,0.7,20.3,0.0,0.0,0.3,0.3
"지역",강원도 화천군,57.2,73.9,7.1,35.7,0.0,3.0,3.9,10.1,1.7,5.5,0.0,0.0,0.0,0.3,0.0,0.0,20.2,25.4,0.3,0.3,9.6,9.6
"지역",강원도 양구군,43.2,49.8,1.4,8.4,4.3,8.8,6.7,15.0,6.9,11.0,0.0,0.0,0.4,2.6,0.0,0.0,5.1,11.4,0.0,0.3,31.9,31.9
"지역",강원도 인제군,40.4,56.1,12.2,24.8,1.3,2.0,4.9,10.6,8.5,16.7,0.0,0.3,0.3,0.3,0.1,0.1,19.9,31.8,1.4,1.4,10.9,10.9
"지역",강원도 고성군,45.1,54.4,3.8,7.1,0.6,1.8,7.9,12.5,2.9,6.4,0.3,0.3,0.0,0.0,0.0,0.0,15.2,25.3,1.8,3.0,22.5,22.5
"지역",강원도 양양군,54.9,63.0,11.1,37.2,3.2,3.9,3.4,12.4,0.6,4.7,0.0,0.0,0.0,0.0,0.0,0.0,21.3,24.0,0.5,0.5,5.1,5.1
"지역",충청북도 충주시,56.1,60.4,1.4,6.3,3.7,7.0,9.7,28.4,1.4,7.9,0.4,2.2,0.0,2.0,0.0,0.0,2.3,21.4,0.0,0.0,25.1,25.1
"지역",충청북도 제천시,76.8,83.9,4.9,8.1,0.5,2.7,5.3,15.0,1.5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,6.1,9.9,0.5,0.9,4.4,4.4
"지역",충청북도 청주시,41.9,53.3,3.1,16.8,3.1,4.0,12.9,31.0,1.1,5.0,0.6,2.4,0.2,1.2,0.4,0.6,3.3,5.6,0.0,0.0,33.4,33.4
"지역",충청북도 보은군,30.3,36.2,0.0,3.8,0.0,0.9,0.4,1.3,1.8,4.5,0.0,0.5,0.0,0.5,0.0,0.4,5.2,24.3,0.0,0.0,62.2,62.2
"지역",충청북도 옥천군,80.6,94.9,0.8,7.5,1.3,3.9,3.2,16.0,0.0,1.4,0.0,0.2,0.0,0.0,0.0,0.0,13.6,22.0,0.0,0.0,0.5,0.5
"지역",충청북도 영동군,65.7,78.5,3.7,42.5,1.4,1.4,9.6,21.0,1.5,8.4,0.3,0.3,0.0,0.0,0.0,0.0,8.0,15.6,0.0,0.0,9.8,9.8
"지역",충청북도 진천군,54.4,62.7,1.2,12.1,0.0,1.0,4.5,12.7,2.7,12.1,0.0,0.4,0.0,0.0,0.0,0.0,31.2,58.0,0.0,0.0,5.9,5.9
"지역",충청북도 괴산군,76.3,91.4,4.2,38.5,0.0,1.2,3.2,11.4,0.2,3.8,0.2,6.3,1.8,4.0,0.0,0.0,10.6,32.7,0.0,0.0,3.3,3.3
"지역",충청북도 음성군,59.8,80.7,11.2,25.4,1.4,1.8,9.3,22.8,2.0,11.8,0.8,2.1,0.0,0.5,0.0,0.9,11.5,40.5,0.3,1.1,3.9,3.9
"지역",충청북도 단양군,68.9,85.4,2.9,5.0,0.0,0.3,18.1,27.0,0.0,0.8,0.0,0.4,0.0,1.1,0.0,0.0,8.7,10.0,0.0,0.0,1.5,1.5
"지역",충청북도 증평군,81.2,89.7,1.1,18.9,1.8,2.8,2.9,6.9,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,7.8,35.6,0.0,0.2,4.2,4.2
"지역",충청남도 천안시,61.1,76.1,4.2,15.2,1.2,2.3,22.4,43.9,4.1,22.3,0.0,1.8,0.0,0.9,0.0,0.0,3.7,12.6,0.0,0.0,3.4,3.4
"지역",충청남도 공주시,61.3,71.0,1.0,11.9,0.4,1.4,16.4,21.7,2.7,13.5,1.1,2.4,2.2,9.0,0.0,0.0,10.6,23.6,0.0,0.0,4.4,4.4
"지역",충청남도 보령시,48.1,61.7,5.2,8.0,0.6,1.9,3.3,9.4,6.1,11.6,0.0,0.5,0.0,0.0,0.0,0.0,24.9,37.3,0.2,0.2,11.5,11.5
"지역",충청남도 아산시,69.2,88.9,2.0,5.8,0.1,0.5,15.0,38.5,0.4,1.6,0.4,0.7,0.0,0.0,0.0,0.0,4.4,17.5,0.0,0.0,8.4,8.4
"지역",충청남도 서산시,51.9,64.1,3.3,21.4,3.7,7.9,17.2,32.5,4.4,13.5,0.5,2.6,0.8,2.4,0.0,0.0,10.7,25.4,0.3,0.3,7.2,7.2
"지역",충청남도 논산시,80.0,91.3,5.7,28.4,0.3,2.9,5.8,23.4,2.9,7.4,0.0,0.2,0.0,0.4,0.0,0.0,1.6,9.6,0.0,0.0,3.6,3.6
"지역",충청남도 계룡시,42.0,59.3,4.0,11.3,1.1,3.8,31.9,57.3,5.5,12.5,0.2,0.7,0.0,0.0,0.0,0.0,14.1,26.5,0.4,0.7,1.0,1.0
"지역",충청남도 당진시,72.0,82.1,2.0,19.5,1.2,3.1,5.9,24.4,3.7,10.8,0.1,1.8,0.2,1.9,1.0,1.0,4.1,26.5,0.0,0.3,9.7,9.7
"지역",충청남도 금산군,73.5,79.1,0.3,3.2,0.7,1.1,4.4,10.6,0.5,1.6,0.0,0.0,0.0,0.3,0.0,0.0,8.8,24.5,0.3,0.8,11.5,11.5
"지역",충청남도 부여군,65.4,81.0,2.8,20.3,2.4,3.0,13.8,19.2,0.6,2.4,0.0,0.0,0.0,0.0,0.0,0.0,4.2,14.6,0.7,0.7,10.0,10.0
"지역",충청남도 서천군,46.5,56.6,6.1,13.0,1.3,1.9,5.5,11.6,0.0,1.2,1.5,2.0,0.2,1.5,0.0,0.0,15.2,28.8,0.0,0.0,23.7,23.7
"지역",충청남도 청양군,69.8,93.1,0.7,13.1,1.0,1.3,5.1,15.3,0.7,1.3,0.0,1.8,0.0,0.0,0.0,0.3,21.7,59.5,0.0,0.0,1.1,1.1
"지역",충청남도 홍성군,56.3,57.4,0.9,49.2,0.0,0.0,0.0,0.3,3.4,3.4,0.2,0.2,0.0,0.0,0.0,0.0,1.1,5.6,0.0,0.0,38.0,38.0
"지역",충청남도 예산군,55.8,57.4,3.7,5.3,0.7,1.4,1.2,2.8,0.6,2.2,0.0,0.3,0.4,0.4,0.0,0.0,22.3,29.7,5.2,5.2,10.1,10.1
"지역",충청남도 태안군,59.4,67.9,2.1,23.0,1.5,2.0,12.2,22.2,1.7,5.0,0.0,0.9,0.0,0.0,0.0,0.0,6.0,14.8,0.2,0.2,16.9,16.9
"지역",전라북도 전주시,83.2,88.8,0.4,8.4,0.7,3.4,8.1,40.0,0.2,3.5,0.3,1.8,0.0,0.5,0.1,0.1,3.6,17.4,0.0,0.1,3.4,3.4
"지역",전라북도 군산시,90.7,94.8,4.5,21.8,0.5,2.3,2.6,38.7,0.7,8.4,0.0,0.4,0.0,0.0,0.0,0.0,0.5,1.3,0.3,0.3,0.2,0.2
"지역",전라북도 익산시,53.0,59.6,3.8,24.0,0.8,1.2,1.0,10.8,3.5,5.2,1.2,2.4,0.3,0.5,0.0,0.0,11.7,33.7,0.0,0.5,24.7,24.7
"지역",전라북도 정읍시,78.0,85.1,3.9,16.3,1.6,2.4,7.4,17.7,0.5,4.7,0.0,1.6,0.3,5.2,0.0,0.0,1.7,29.7,0.0,0.0,6.7,6.7
"지역",전라북도 남원시,29.6,44.0,3.4,8.3,4.3,7.9,0.7,1.9,1.3,5.6,0.8,1.6,3.2,15.0,0.4,1.1,22.8,31.8,0.7,1.0,33.0,33.0
"지역",전라북도 김제시,57.2,62.5,0.3,3.4,0.0,0.3,6.2,9.9,0.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,31.9,31.9
"지역",전라북도 완주군,73.4,84.6,0.3,20.4,0.0,0.0,23.2,37.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.7,0.0,0.0,0.9,0.9
"지역",전라북도 진안군,70.6,84.9,6.9,12.3,3.2,4.3,5.4,13.6,0.5,2.5,0.0,0.0,0.0,0.0,0.6,0.6,6.5,14.7,0.0,1.4,6.3,6.3
"지역",전라북도 무주군,60.3,70.6,5.4,24.9,0.0,2.7,5.7,10.6,0.0,1.9,0.0,0.0,0.3,1.0,0.0,0.4,6.1,16.5,0.0,0.0,22.2,22.2
"지역",전라북도 장수군,27.9,57.4,0.2,0.3,0.0,1.2,7.4,15.2,1.2,5.9,0.0,0.0,0.0,0.0,0.0,0.0,29.4,49.0,0.1,1.0,33.8,33.8
"지역",전라북도 임실군,34.5,42.1,19.9,21.4,3.4,6.8,6.0,11.0,0.3,2.0,0.2,1.1,0.0,0.4,0.0,0.0,16.9,27.0,0.0,0.0,18.9,18.9
"지역",전라북도 순창군,38.9,50.1,12.2,29.7,16.8,22.6,0.9,1.4,0.8,1.5,0.0,0.5,0.0,0.0,0.0,0.0,29.7,58.8,0.0,0.0,0.6,0.6
"지역",전라북도 고창군,80.7,93.8,3.2,38.0,1.5,1.5,5.0,13.4,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,5.5,32.3,0.0,0.0,4.2,4.2
"지역",전라북도 부안군,28.0,44.1,8.7,25.9,2.9,2.9,3.0,7.9,2.7,5.5,0.0,0.0,0.0,0.0,0.0,0.4,4.5,8.3,0.0,0.3,50.2,50.2
"지역",전라남도 목포시,61.8,82.1,0.5,9.9,0.5,1.6,21.1,47.2,4.5,14.3,2.4,3.1,0.0,0.8,0.0,0.0,3.9,26.5,0.0,0.0,5.4,5.4
"지역",전라남도 여수시,72.1,93.2,1.8,7.1,0.0,0.0,12.7,37.1,0.7,4.3,0.0,0.5,0.0,0.0,0.2,0.2,11.5,32.7,0.0,0.0,1.0,1.0
"지역",전라남도 순천시,60.2,71.2,3.1,19.5,2.1,4.7,6.7,18.2,3.0,10.5,1.5,2.7,0.1,1.8,0.4,0.7,9.7,32.0,0.4,0.4,12.8,12.8
"지역",전라남도 나주시,80.2,97.1,0.3,12.1,0.0,0.0,12.7,26.4,3.1,6.4,0.0,1.0,0.0,9.4,0.0,0.0,3.5,43.4,0.0,0.0,0.3,0.3
"지역",전라남도 광양시,51.3,55.2,1.3,3.1,1.0,1.5,12.1,16.7,1.2,1.9,0.0,0.0,0.3,0.3,0.0,0.0,5.1,7.0,0.0,0.0,27.7,27.7
"지역",전라남도 담양군,55.5,67.5,3.1,20.0,0.4,1.6,6.8,12.3,5.5,14.3,0.0,0.2,0.0,0.5,0.0,0.5,22.3,49.4,0.0,0.0,6.4,6.4
"지역",전라남도 곡성군,45.6,57.1,1.6,2.3,1.1,2.2,2.3,5.3,2.8,3.1,0.0,0.0,0.0,0.0,0.0,0.0,19.4,27.5,0.0,0.0,27.2,27.2
"지역",전라남도 구례군,48.9,55.5,1.1,5.2,2.7,4.5,3.4,8.3,0.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,12.8,28.8,0.3,0.8,30.5,30.5
"지역",전라남도 고흥군,65.0,72.7,0.2,26.5,3.1,10.9,5.3,6.6,1.0,1.8,0.4,1.2,0.8,3.6,0.0,0.0,7.7,35.5,0.0,0.0,16.4,16.4
"지역",전라남도 보성군,48.3,61.2,11.5,35.5,0.0,0.0,0.7,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,57.2,0.0,0.0,8.6,8.6
"지역",전라남도 화순군,48.1,55.7,0.5,27.3,2.4,4.5,0.5,4.8,4.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,19.5,0.7,0.7,35.3,35.3
